文件（访视层）,层级1（表单层）,层级2,层级3,层级4,层级5,层级6,层级7,层级8,层级9,层级10,数据单位,展示类型,group是否可重复,table是否多行,可选项值,数据类型,字段冲突处理规则,提示词- 字段说明,抽取提示词（示例）,字段可否为空（nullable）,是否为主键级字段,时间属性字段组绑定,是否为敏感字段（is_sensitive）,字段是否可编辑（editable）,是否为抽取单位组,主要来源（Primary Sources）,次要来源（Secondary Sources）
费用信息,住院病案首页,,,,,,,,,,,group,不可重复,,,,,,,,,,,,是,病案首页,
费用信息,住院病案首页,病案号,,,,,,,,,,text,,,,文本,,,,否,是,,,,,,
费用信息,住院病案首页,ID号（健康卡号）,,,,,,,,,,text,,,,文本,,,,,,,,,,,
费用信息,住院病案首页,姓名,,,,,,,,,,text,,,,文本,,,,否,是,,,,,,
费用信息,住院病案首页,性别,,,,,,,,,,radio,,,"男,女,不详",文本,,,,否,是,,,,,,
费用信息,住院病案首页,年龄,,,,,,,,,岁,text,,,,数字,,,,否,是,,,,,,
费用信息,住院病案首页,证件号,,,,,,,,,,text,,,,文本,,,,是,否,,,,,,
费用信息,住院病案首页,出生日期,,,,,,,,,,date,,,,日期,,,,,,,,,,,
费用信息,住院病案首页,电话,,,,,,,,,,text,,,,文本,,,,,,,,,,,
费用信息,住院病案首页,入院时间,,,,,,,,,,date,,,,日期,,,,,,,,,,,
费用信息,住院病案首页,出院时间,,,,,,,,,,date,,,,日期,,,,,,,,,,,
费用信息,住院病案首页,住院费用（元）总费用,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,一般医疗服务费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,一般治疗操作费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,护理费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,病理诊断费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,实验室诊断费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,影像学诊断费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,临床诊断项目费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,麻醉费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,手术费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,西药费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,抗菌药物费用,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,血费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,白蛋白类制品费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,治疗用一次性医用材料费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,手术用一次性医用材料费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
费用信息,住院病案首页,其他费,,,,,,,,,人民币元,text,,,,数字,,,,,,,,,,,
出院情况,出院记录,,,,,,,,,,,group,不可重复,,,,,,,,,,,,是,出院小结/记录,
出院情况,出院记录,民族,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,出生地,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,职业,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,入院时间,,,,,,,,,,date,,,,日期,,,,,,,,,,,
出院情况,出院记录,出院日期,,,,,,,,,,date,,,,日期,,,,,,,,,,,
出院情况,出院记录,在院天数,,,,,,,,,天,text,,,,数字,,,,,,,,,,,
出院情况,出院记录,医院,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,科室,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,ID号,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,住院号,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,入院诊断,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,诊疗过程,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,出院诊断,,,,,,,,,,text,,,,文本,,,,,,,,,,,
出院情况,出院记录,病理结果,,,,,,,,,,text,,,,文本,,,,,,,,,,,
入院情况登记,入院记录,,,,,,,,,,,group,不可重复,,,,,,,,,,,,是,入院记录,
入院情况登记,入院记录,民族,,,,,,,,,,radio,,,"汉族,蒙古族,回族,藏族,维吾尔族,苗族,彝族,壮族,布依族,朝鲜族,满族,侗族,瑶族,白族,土家族,哈尼族,哈萨克族,傣族,黎族,傈僳族,佤族,畲族,高山族,拉祜族,水族,东乡族,纳西族,景颇族,柯尔克孜 ,土族,达斡尔族,仫佬族,羌族,布朗族,撒拉族,毛难族,仡佬族,锡伯族,阿昌族,普米族,塔吉克族,怒族,乌孜别克,俄罗斯族,鄂温克族,崩龙族,保安族,裕固族,京族,塔塔尔族,独龙族,鄂伦春族,赫哲族,门巴族,珞巴族,基诺族,其他,外国血统中国籍人士",文本,,,,,,,,,,,
入院情况登记,入院记录,入院日期,,,,,,,,,,date,,,,日期,,,在报告中找到入院日期，转换为日期格式“YYYY/MM/DD”输出,,,,,,,,
入院情况登记,入院记录,主诉,,,,,,,,,,text,,,,文本,,,请提取入院记录第1页中关于主诉的所有描述，如：“反复腹部疼痛2月余，再发3小时”，不添加“主诉”2字。,,,,,,,,
入院情况登记,入院记录,病程,,,,,,,,,,text,,,,文本,,,从入院记录第1页中关于主诉的描述中，提取患者疾病持续的时间，如“反复腹部疼痛2月余，再发3小时”，则输出病程“2月余”，如未描述，则输出“未提及”,,,,,,,,
入院情况登记,入院记录,腹痛,,,,,,,,,,radio,,,"有,无",文本,,,"从入院记录第1页现病史中判断【腹痛】是否出现。  
- 若提到“腹痛”或相关描述（如“上腹部疼痛”“腹痛伴绞痛”），输出：有  
- 若明确写“无腹痛”或完全未提及腹痛，输出：无  
仅输出“有”或“无”，不要解释。",,,,,,,,
入院情况登记,入院记录,发热,,,,,,,,,,radio,,,"有,无",文本,,,判断入院记录第1页现病史是否提及【发热】：若有相关描述（如“伴发热”“体温38℃以上”）输出“有”；若明确写“无发热”或未提及发热则输出“无”。仅输出“有”或“无”。，不要解释。,,,,,,,,
入院情况登记,入院记录,黄疸,,,,,,,,,,radio,,,"有,无",文本,,,判断入院记录第1页现病史是否存在【黄疸】体征：如出现“黄疸”或“皮肤/黏膜/巩膜黄染/眼白发黄”等明确描述，输出“有”；如写明无/未见/否认/已消退，或未提及，则输出“无”。仅输出“有”或“无”；仅有茶色尿或胆红素升高不计入“有”。,,,,,,,,
入院情况登记,入院记录,糖尿病,,,,,,,,,,radio,,,"有,无",文本,,,判断入院记录第1页既往史是否提及【糖尿病】：如写“糖尿病”“2型糖尿病”等则输出“有”；如写“无糖尿病/否认糖尿病”或未提及则输出“无”；仅输出“有/无”。,,,,,,,,
入院情况登记,入院记录,高血压,,,,,,,,,,radio,,,"有,无",文本,,,判断既往史是否提及【高血压】：如写“高血压/高血压病”则“有”；如写“无高血压/否认高血压”或未提及则“无”；仅输出“有/无”。,,,,,,,,
入院情况登记,入院记录,冠心病,,,,,,,,,,radio,,,"有,无",文本,,,判断既往史是否提及【冠心病】：如写“冠心病/心绞痛/心肌梗死病史”则“有”；如否认或未提及则“无”；仅输出“有/无”。,,,,,,,,
入院情况登记,入院记录,呼吸道疾病史,,,,,,,,,,radio,,,"有,无",文本,,,判断既往史是否提及【呼吸道疾病】：如写“慢性支气管炎/COPD/哮喘/肺结核”等则“有”；如否认或未提及则“无”；仅输出“有/无”。,,,,,,,,
